Indicator,Country,Year,Value
"Mortality caused by road traffic injury (per 100,000 people)","Lao PDR","2016","16.6"
"Mortality caused by road traffic injury (per 100,000 people)","Latvia","2013","10"
"Mortality caused by road traffic injury (per 100,000 people)","Latvia","2016","9.3"
"Mortality caused by road traffic injury (per 100,000 people)","Lebanon","2013","22.6"
"Mortality caused by road traffic injury (per 100,000 people)","Lebanon","2016","18.1"
"Mortality caused by road traffic injury (per 100,000 people)","Lesotho","2013","28.2"
"Mortality caused by road traffic injury (per 100,000 people)","Lesotho","2016","28.9"
"Mortality caused by road traffic injury (per 100,000 people)","Liberia","2013","33.7"
"Mortality caused by road traffic injury (per 100,000 people)","Liberia","2016","35.9"
"Mortality caused by road traffic injury (per 100,000 people)","Libya","2013","23.8"
"Mortality caused by road traffic injury (per 100,000 people)","Libya","2016","26.1"
"Mortality caused by road traffic injury (per 100,000 people)","Liechtenstein","2013",".."
"Mortality caused by road traffic injury (per 100,000 people)","Liechtenstein","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","Lithuania","2013","10.6"
"Mortality caused by road traffic injury (per 100,000 people)","Lithuania","2016","8"
"Mortality caused by road traffic injury (per 100,000 people)","Luxembourg","2013","8.7"
"Mortality caused by road traffic injury (per 100,000 people)","Luxembourg","2016","6.3"
"Mortality caused by road traffic injury (per 100,000 people)","Macao SAR, China","2013",".."
"Mortality caused by road traffic injury (per 100,000 people)","Macao SAR, China","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","Madagascar","2013","28.4"
"Mortality caused by road traffic injury (per 100,000 people)","Madagascar","2016","28.6"
"Mortality caused by road traffic injury (per 100,000 people)","Malawi","2013","35"
"Mortality caused by road traffic injury (per 100,000 people)","Malawi","2016","31"
"Mortality caused by road traffic injury (per 100,000 people)","Malaysia","2013","24"
"Mortality caused by road traffic injury (per 100,000 people)","Malaysia","2016","23.6"
"Mortality caused by road traffic injury (per 100,000 people)","Maldives","2013","3.5"
"Mortality caused by road traffic injury (per 100,000 people)","Maldives","2016","0.9"
"Mortality caused by road traffic injury (per 100,000 people)","Mali","2013","25.6"
"Mortality caused by road traffic injury (per 100,000 people)","Mali","2016","23.1"
"Mortality caused by road traffic injury (per 100,000 people)","Malta","2013","5.1"
"Mortality caused by road traffic injury (per 100,000 people)","Malta","2016","6.1"
"Mortality caused by road traffic injury (per 100,000 people)","Marshall Islands","2013","5.7"
"Mortality caused by road traffic injury (per 100,000 people)","Marshall Islands","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","Mauritania","2013","24.5"
"Mortality caused by road traffic injury (per 100,000 people)","Mauritania","2016","24.7"
"Mortality caused by road traffic injury (per 100,000 people)","Mauritius","2013","12.2"
"Mortality caused by road traffic injury (per 100,000 people)","Mauritius","2016","13.7"
"Mortality caused by road traffic injury (per 100,000 people)","Mexico","2013","12.3"
"Mortality caused by road traffic injury (per 100,000 people)","Mexico","2016","13.1"
"Mortality caused by road traffic injury (per 100,000 people)","Micronesia, Fed. Sts.","2013","1.9"
"Mortality caused by road traffic injury (per 100,000 people)","Micronesia, Fed. Sts.","2016","1.9"
"Mortality caused by road traffic injury (per 100,000 people)","Moldova","2013","12.5"
"Mortality caused by road traffic injury (per 100,000 people)","Moldova","2016","9.7"
"Mortality caused by road traffic injury (per 100,000 people)","Monaco","2013","0"
"Mortality caused by road traffic injury (per 100,000 people)","Monaco","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","Mongolia","2013","21"
"Mortality caused by road traffic injury (per 100,000 people)","Mongolia","2016","16.5"
"Mortality caused by road traffic injury (per 100,000 people)","Montenegro","2013","11.9"
"Mortality caused by road traffic injury (per 100,000 people)","Montenegro","2016","10.7"
"Mortality caused by road traffic injury (per 100,000 people)","Morocco","2013","20.8"
"Mortality caused by road traffic injury (per 100,000 people)","Morocco","2016","19.6"
"Mortality caused by road traffic injury (per 100,000 people)","Mozambique","2013","31.6"
"Mortality caused by road traffic injury (per 100,000 people)","Mozambique","2016","30.1"
"Mortality caused by road traffic injury (per 100,000 people)","Myanmar","2013","20.3"
"Mortality caused by road traffic injury (per 100,000 people)","Myanmar","2016","19.9"
"Mortality caused by road traffic injury (per 100,000 people)","Namibia","2013","23.9"
"Mortality caused by road traffic injury (per 100,000 people)","Namibia","2016","30.4"
"Mortality caused by road traffic injury (per 100,000 people)","Nauru","2013",".."
"Mortality caused by road traffic injury (per 100,000 people)","Nauru","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","Nepal","2013","17"
"Mortality caused by road traffic injury (per 100,000 people)","Nepal","2016","15.9"
"Mortality caused by road traffic injury (per 100,000 people)","Netherlands","2013","3.4"
"Mortality caused by road traffic injury (per 100,000 people)","Netherlands","2016","3.8"
"Mortality caused by road traffic injury (per 100,000 people)","New Caledonia","2013",".."
"Mortality caused by road traffic injury (per 100,000 people)","New Caledonia","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","New Zealand","2013","6"
"Mortality caused by road traffic injury (per 100,000 people)","New Zealand","2016","7.8"
"Mortality caused by road traffic injury (per 100,000 people)","Nicaragua","2013","15.3"
"Mortality caused by road traffic injury (per 100,000 people)","Nicaragua","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","Niger","2013","26.4"
"Mortality caused by road traffic injury (per 100,000 people)","Niger","2016","26.2"
"Mortality caused by road traffic injury (per 100,000 people)","Nigeria","2013","20.5"
"Mortality caused by road traffic injury (per 100,000 people)","Nigeria","2016","21.4"
"Mortality caused by road traffic injury (per 100,000 people)","North Macedonia","2013","9.4"
"Mortality caused by road traffic injury (per 100,000 people)","North Macedonia","2016","6.4"
"Mortality caused by road traffic injury (per 100,000 people)","Northern Mariana Islands","2013",".."
"Mortality caused by road traffic injury (per 100,000 people)","Northern Mariana Islands","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","Norway","2013","3.8"
"Mortality caused by road traffic injury (per 100,000 people)","Norway","2016","2.7"
